sentences	score
"All truth is subjective . The truth is not discovered , it is created . It is not observed , it is produced ."	1
"All you have to do is know that this is true , and it will be true for you , right now . I think that's terrific , don't you ?"	1
All you really have to do to change your thought about something is to Think Twice .	0
"All you see in your world is the outcome of your idea about it . Cynicism , defensiveness and fear have kept many from their "" highest thoughts . """	0
"Allow yourself to call forth all the joy & wonder that life can bring you , in whatever form you happily choose ."	1
"Allow yourself to call forth all the joy and wonder that life can bring you , in whatever form you happily choose !"	0
"Allow yourself to notice that you are just as you need to be , just when you need to be , in order to move forward the agenda of your Soul ."	1
"Always remember that we are three part beings , made up of Body , Mind , and Soul ."	1
"Always , with your choices , you are answering a single question : Who am I ? Every act is an act of self-definition ."	1
An event and your reality about that event are not the same thing . An event is one thing ; your reality of it is another .	0
"Are you happy ? Are you compassionate and considerate of others ? It is who you have been , not what you have done , that matters to your soul ."	0
"Are you in a place called fear , or in a place called love ? Where are you , and where are you coming from , as you encounter life ?"	0
Are you meditating regularly ? Is it the first thing you cut out of your day if things begin to get hectic ? It should be the last thing .	0
"Are you willing to overcome your daily minor obstacles ? Look to see what they offer you in terms of growth , and you'll see their treasure ."	0
"As a Spiritual Being , I know that I am here for a spiritual reason . My purpose has to do with my interior life ."	0
"As it relates to you , perfection is the Self that you have chosen to be , and are now choosing to demonstrate & experience ."	0
"As long as you think you can win an argument , you will have it . As long as you think you can win a war , you will fight it ."	0
"As soon as you decide to Be something , you then decide to do something about it ."	0
"As you evolve into higher states of consciousness , you bring into full realization every aspect of your being ."	0
"As you shift and change your own experience , the experience of the whole human race begins to shift and change as well ."	0
"At every moment of difficulty in your life you have a choice : you can oppose what you are experiencing , or compose what you choose ."	0
At the end of your life you will know that nothing you have done will matter - only who you have been while you have done it .	0
"At the end of your life you will see that it is who you have been , not what you have done , that matters to your soul ."	0
"Awareness is noticing at a very high level of consciousness exactly what is happening Right Here , Right Now ."	1
"Be a bringer of the Light . For your light can do more than illuminate your own path , you can be the light which truly lights the world ."	1
"Be careful of those who imagine themselves to be on the High Road . If they really were , they would offer to take everyone else with them ."	0
"Be shameless about love . Get the shame out of it , and replace it with celebration ."	0
Because the Journey has been described as “ sacred ” does not mean that one cannot seek and find pleasure and excitement in worldly pursuits .	0
"Behold the darkness , yet curse it not . Rather , be a light unto the darkness , and so transform it . Let your light shine ."	1
"Belief in the coming of The Unexpected is the genesis of hope . Therefore , you must always think that anything can happen ."	0
Bring a gentle wisdom to your moments . Watch it change them . Watch it change you .	0
Bring peace to the Earth by bringing peace to all those whose lives you touch . Be peace .	0
"Bring yourself to the present moment by just listening to your breath . Then quietly , give yourself permission to make a new choice if you wish ."	0
Built into you is an internal guidance system that shows you the way home . All you need to do is heed the voice .	1
"Celebrate the shifting sands as they form the new mountains . These mountains are monuments to change , not to permanence ."	0
"Change is inevitable . The trick in life is not to try to avoid change , but to create the change . Then it's the change you choose ."	0
"Change is the fundamental impulse of Life itself . It is the continual , unending adjustment , adaptation , and alteration of All That Is ."	0
"Change your ideas about the changes to come , even as you change your idea about the changes that have passed ."	0
"Change your mind about what you hold in mind about the world . Think of moments of splendor , expressions of love ."	0
"Changing something is not resisting something , it is merely choosing again . Modification is creation ."	0
Changing what you imagine to be needs into what you experience as desires is the first step towards mastery .	0
"Completely rearrange your thinking about Earth . Begin to experience life “ on Earth as it is in heaven . ” That is , as if this were a paradise ."	0
Compose your original idea of how you want life to show up . And compose yourself too . Be assured that life is functioning perfectly .	0
Confusion is the first step towards wisdom . Folly is thinking that you have all the answers .	0
"Could you go so far as to create a brand new truth about yourself ? Truth is created , it is not discovered ."	0
"Daily meditation is one way to achieve awareness . It requires a decision to seek inner experience , not outer reward ."	0
"Death does not exist in ultimate reality , but is merely a concoction , an invention , through which life becomes more valued by you ."	0
Decide Who You Are - Who you want to be - and then do everything in your power to be that .	0
"Divinity realized through any other person , place or thing is Divinity by Projection"	1
"Do not allow yourself to be defined by default . If you think you are making no decision by making no decision , you are making a mistake ."	0
"Do not attempt to change another , BE the change you wish to see . That is your mission , and there is no other ."	0
Do not berate or beleaguer yourself for “ not doing it right ” as you move through your days and times .	0
"Do not buy into what others are telling you -- even if those others are people in authority , people who seem to have all the information ."	1
"Do not condemn all you would call bad in the world . Ask yourself what about this you've judged bad , and what do you wish to do to change it ."	0
"Do not confuse excellence with perfection . The first is possible to achieve , the second is probably not ."	0
"Do not jump into "" reaction "" mode at the first appearance of negative energy . Just breathe , and relax ."	0
"Do not look for your Master , BE the Master for whom you have been looking ."	1
"Do not search for life's meaning , or the meaning of any particular event , occurrence , or circumstance . Give it its meaning ."	0
Do not search for life's meaning . Give it its meaning . Then announce and declare Who You Choose to Be .	0
"Do not tarry in doubt and fear , yet reside in permanent splendor in the assurance that you are grandly loved ."	0
"Do not tie your efforts at personal transformation to a result called planetary transformation , or you may achieve neither ."	0
"Do not try to "" do "" happy . Simply choose to "" be "" happy , and everything you do will spring from that ."	0
Do not try to solve all the mysteries . Give the universe a chance . It will unfold itself in due course . Enjoy the experience of becoming .	0
"Do some critical thinking , and not just memorizing what others want you to think ."	0
"Do you think you are a messenger ? You are . You are bringing a message TO life , ABOUT life , through the process of Life Itself ."	0
"Don't decry the "" effort that failed . "" All things lead to your highest good . You just may not know it yet ."	0
"Don't take yourself so seriously . Give yourself a little slack . And while you're at it , give each other a little , too ."	0
"Don't worry about "" mistakes . "" Rather , worry about being afraid not to make any ."	1
Don't worry about you . Your life will be taken care of . Worry about everyone whose life you touch that doesn't know this .	0
Don't you dare give up on Tomorrow because of the way things look Today . Don't even think about it .	0
"Dreams are the container of the soul . So dream away , and dream often , and dream big . And never let anyone talk you out of your dreams ."	1
Drop fear by the wayside . Just . . . let it go . Then make way for a surprising tomorrow .	0
"Drop the thought that you cannot affect the future . Tell yourself the future is not coming TO you , it is coming THROUGH you ."	0
"Each moment of your life is a holy moment , a moment of creation . Each moment is a new beginning . In each , you are born again ."	0
"Each soul creates for itself the exact people , events , and circumstances needed to accomplish what It wishes to accomplish ."	0
Energy vibrating in such a highly specific way is a Singular Outflow of Universal Life . You may abbreviate that in English as S . O . U . L	0
"Enthusiasm is half of the journey to success , and all of the journey to joy ."	0
Eras have always ended with the emergence of the sharpest divisions ever between yesterday's ideas and tomorrow's hopes .	0
Even our most difficult moments bring us gifts .	0
Events are created by conditions and occurrences outside of you . Reality is created by conditions and occurrences inside of you - in your mind .	0
"Events do not have meanings . Events are events , and meanings are thoughts . Nothing has any meaning save the meaning you give it ."	0
Every act is an act of self-definition . Is defining the Self a thing that matters to you ? Of course it is . It is the very reason you came here !	1
"Every action taken is based on love or fear . When you choose the action love sponsors , you experience the glory of Who You Really Are ."	1
Every decision you make-every decision-is not a decision about what to do . It's a decision about Who You Are .	0
Every feeling you've ever had resides in your soul . Your soul is the sum total of all your feelings .	1
"Every human being on the planet has felt , at one time or another , a natural impulse for knowing of , and reunion with , the Divine ."	0
"Every human thought , word , or deed is based on either fear or love . You have free choice which of these to select ."	0
"Every minute of every hour of every day , life begins anew ."	0
Every relationship is a blessed gift - even those which you believe have brought you nothing but sadness and pain .	0
Every time I look closely at life I am reminded that it exists on two levels (at least) : the human level and the spiritual level .	0
Every tragedy of the human experience can be attributed to one human decision - the decision to withdraw from each other .	0
"Everybody is a minister , everybody is a doctor , and everybody in the world is a healer . All we’re doing on the planet is helping each other ."	0
"Everyone knows Who They Are in their hearts . If you open your heart , you fill the world with your magnificence ."	0
"Everyone sees a different truth , because everyone is creating what they see ."	1
"Everything depends on who you think you are , and what you are trying to do ."	0
Everything in the universe is made of the same stuff	0
"Everything in your life has served you , brought you to this moment ."	1
"Everything is energy . In this field of energy , like attracts like . What you think , you create ."	1
"Everything shifts if we can only see ourselves as those who create , rather than endure , our experiences ."	0
"Everything that ever was , is now , and ever shall be , is , right now . The soul has access to all of this information ."	1
"Everything there is to know about Life we are supposed to know , and the knowing of it is very easy ."	0
"Examine your values one by one . If you can tell the world who you are and what you believe without hesitating , you are happy with yourself ."	0
"Excellence does not mean that you must be without errors , but only that you seek to correct them . Are you committed to excellence ?"	1
Exercise is the meditation of the body . It allows you to feel Oneness with all of Life .	0
"Expect nothing , and take whatever you get . Embrace whatever shows up . Love what it is . Namaste ."	1
"Expectations place a limit on the way you define perfection , and this limit constricts your creation of perfection itself ."	1
"Express your lives as a demonstration of your highest beliefs , rather than a denial of them ."	0
"Exterior circumstances may present themselves in a variety of ways , but the way you respond and react to them is entirely under your control ."	1
"Face the future fearlessly , understanding the process and seeing the perfection of all of it ."	0
"Failure is a fiction , every trying is a success & every effort achieves the victory ."	1
"Fear & guilt are your only enemies . If you let go of fear , fear lets go of you . If you release guilt , guilt will release you ."	0
Fear and caution are two different things . Be cautious - be conscious - but do not be fearful .	0
"Fear and guilt are your only enemies . If you let go of fear , fear lets go of you . If you release guilt , guilt will release you ."	1
"Fear and guilt are your only enemies . Love and awareness are your true friends . Do not confuse one with the other , for one will kill you , while the other gives you life ."	1
"Fear only paralyzes , while consciousness mobilizes . Be mobilized , not paralyzed ."	0
"Feel and express in every moment your Divine Connection with the All , and with every person , place , and thing ."	0
"Feeling is the language of the soul . If you want to know what's true for you about something , look to how you're feeling about it ."	0
"Feeling is the way we identify and magnify the energy we wish to experience more of , by resonating with it ."	0
Feelings are sometimes difficult to discover . Yet hidden in your deepest feelings is your highest truth .	1
Find a form of service . It doesn't matter what it is . Be with people . Do stuff . Be of service .	0
"Follow your passion , even if others tell you that you are crazy for trying it ."	0
"For me , the difference between Divinity and Humanity is that Divinity seeks only to distribute , and Humanity seeks only to gather ."	0
"Forget about how you think things "" should "" be . There is no such thing as "" should "" in the universe ."	1
Forgiveness is a great healer . You can literally forgive your way to health . You can forgive your way to happiness .	1
Forgiveness is just another word for peace in the language of the soul .	1
"From where does your joy originate ? Is it from something exterior to you , or from something interior ?"	0
Give people the gift of self-esteem and you will have given them a gift that many cannot find a way to give themselves .	1
Give the universe a chance . Do not try to solve all the mysteries . They will unfold in due course .	1
"Give those around you the "" break "" that you hope the world will give you on your own "" bad day "" and you'll never , ever regret it ."	0
"Give your children as much of a sense of "" unlimitedness "" as you possibly can ."	0
"Given that you are an Individuated Aspect of Divinity itself , you have the ability to create your own experience of life ."	0
"Glorify what you are today , yet do not condemn what you were yesterday , nor preclude what you could become tomorrow ."	0
"Glorify who you are today , do not condemn who you were yesterday , and dream of who you can be tomorrow ."	0
Good things await you on the other side of this ridge . This is a hill you can climb . Just put one foot in front of the other .	0
"Grant yourself permission to have all that life has to offer , and you will discover it has more to offer than you've ever imagined ."	0
"Gratitude wipes the slate clean of all prior negative judgments that you may have held about any person , event , circumstance , or situation ."	0
Great and unexpected good is coming to you now . All you have to do now is get ready to receive your new-found good . Be on the lookout .	0
Guilt and fear are the only enemies of man . Guilt is the feeling that keeps you stuck in who you are not .	1
"Happiness is a decision , not an experience . The same is true of Love . Love is not a reaction . Love is a decision ."	0
"Happiness is a decision , not an experience . You can decide to be happy , and you will be ."	1
"Happiness is a decision . You can decide to be happy without what you thought you needed in order to be happy , and you will be ."	0
Happiness is not created as a result of certain conditions . Certain conditions are created as a result of happiness .	0
"Harnessing your thoughts , exercising control , is not as difficult as it might seem . It is all a matter of discipline . It is a question of intent ."	1
Has your life not shown you that everything works out for your highest purpose ?	1
"Have Compassion for yourself . You are courageous and good , and you deserve it ."	0
"Have you not learned from your greatest hurts , sometimes even more than from your greatest pleasures ?"	0
Heaven is nowhere . Just put some space between the W and the H in that word and you'll see that heaven is now…here .	1
"Honor your body , simply do not build your life and all your decisions around it ."	0
"Honor your home in the Universe , and be its good steward . Protect your environment and save it . Renew your resources and share them ."	0
How about getting out of your thoughts and into your feelings ? Now it's about moving from your head to your heart .	1
How do I choose for Divinity to be expressed through me in the next grandest way in this moment ? In your answer is found a true act of Creation .	0
How do we let go of fear and guilt ? By deciding to . All it takes is a decision deep in the heart and soul and mind .	1
"How do you carry joy in your heart ? Help another feel it . Release the joy that is inside another , and you release the joy inside you ."	1
How do you let go of fear and guilt ? By deciding to . You simply change your mind about yourself and how you choose to feel .	0
"How may you seek the kingdom of heaven ? By providing the kingdom of heaven , with all its blessings , to all those whose lives you touch ."	0
"However little you have , you can always find someone who has less . Find that someone , and give to them from the abundance that is yours ."	0
"I am inviting myself not to live my life as an experience of reaction , nor even as an experience of creation , but as an experience of intention , producing the expression of Divinity . This is what I call fulfillment ."	0
"I Am What I Am Right Here , Right Now . And just exactly what is that ? It is whatever you choose for it to be ."	0
I believe we know at the highest level that We Are All One . It is this supreme awareness that pulls us toward each other .	0
"I have become very philosophical about life itself . I tell myself that all things happen for the highest good , and I believe it ."	0
"I have learned that "" happiness "" is achieved through the simple process of embracing all of life exactly as it is ."	1
"I see now that I have been led to just the right people at just the right time , in order to continue my education ."	0
"I tell you this : Your feelings will never get you into "" trouble , "" because your feelings are your truth ."	0
"I've decided that I am a Spiritual Being , a three-part being made up of Body , Mind , and Soul ."	1
"I've lived enough to know that the things I hoped would stay the same couldn't stay the same , because Change is the Process of Life Itself ."	0
"if "" how things are "" is no longer the experience we choose , then we must each work to change it ."	0
"If a way is made known to you to create , display , express , and experience your Divine Self , follow that way ."	0
"If all you are doing is following someone else's rules , then you have not grown , you have obeyed ."	0
"If all you desired is what your soul desired , everything would be simple . The choices of the soul are always the highest choices ."	1
"If every person on the planet had basic needs met , would this not open the way for all of humankind to engage in more noble pursuits ?"	0
"If life in the physical is not a joy , it is because we are not looking at it from the perspective of the soul ."	0
"If the whole world followed you , would you be pleased with where you took it ?"	0
"If we don’t understand our past , we don’t stand a good chance of understanding how to most beneficially create our future ."	0
"If we want to truly change the world , we cannot do it from the outside . Change must come from within ."	0
"If you are here , right now , without what you think you need , then why do you think you need it ?"	1
"If you are not responsible for the choices humankind has been making , and keeps making , who is ?"	1
"If you can change your Thought about something , you can create a different Emotion around it—which will produce a different Experience of it ."	0
"If you cannot find a group whose consciousness matches your own , be the source of one . Others of like consciousness will be drawn to you ."	0
"If you carry joy in your heart , you can heal any moment . In order to feel joy , you must let it out ."	0
"If you don't like the way you are headed , change direction . Search your inner wisdom . See what this calls on you to do . Then do it ."	0
"If you listen to your soul you will know what is "" best "" for you , because what is best for you is what is true for you ."	1
"If you look closely at your life , you'll see that you've always had whatever you've needed to bring you here , where you are , right now ."	1
"If you love another , you will not do anything that you believe could or would hurt that person ."	1
"If you start fearing change you could wind up shrinking from ever making any kind of change at all , even a change for your own good ."	0
"If you supply to others what you , yourself , desire , you will experience having it ."	0
"If you think you would like to experience a different reality , focus on that , and that is the outcome you can draw to you ."	0
"If you want guarantees in life , then you don't want life . You want rehearsals for a script that's already been written ."	0
"If you want to get in touch with what your soul knows about the future , listen to what your body is telling you right now ."	0
"If you want to know the truth on any subject , look to your feelings . Checking in with your body is the fastest way of doing this ."	0
"If your love for another carries requirements , then it is not love at all , but some counterfeit version ."	0
"If your soul fills your mind with spiritual energy , you will be Mind-Full - and the workings of this engine can produce miracles ."	0
Ignore your previous experience and go into the moment . Be Here Now .	0
"In almost every case , nothing is stopping you , nothing is holding you back but your own thoughts about yourself and "" how life is . """	0
In every Moment of your life your choice is always the same : to move into Reaction or Creation .	1
"In life , nothing happens by chance . Life proceeds out of your intentions for it ."	1
"In life , you do not have to do anything . It is all a question of what you are being ."	0
"In meditation you place yourself in a state of readiness to experience total awareness while your body is "" awake . """	0
"In moments of great decision , be out of the mind , and do some soul searching instead ."	0
"In truth , love is all there is . Even fear is an outgrowth of love , and when used effectively , expresses love ."	0
"In truth , no one thing is better than another , but all things are simply what they are : reflections of a perfectly functioning universe ."	0
"Insist on creating a new cultural story , with a new ethic - an ethic of non-violence ."	1
Intuition does not reside in the mind . Intuition resides in the psyche . In the soul . Intuition is the ear of the soul .	0
It is absurd to accept that a world which can send men to the moon cannot join together to get food to everybody who needs it .	0
"It is important for us to look , open-eyed , at what some people actually think about , not only at what we want to think about ."	1
It is important to see that we are all in the helping professions . There’s nobody who’s not . Everything we do helps someone else .	1
It is important to understand that life is nothing but energy . It is energy organized . And who does the organizing ? We do .	0
"It is impossible to have a "" meeting of minds . "" You can , however , have a blending of the souls ."	0
It is much easier to change what you are doing than to change what another is doing .	0
"It is not a process of discovery , it is a process of recovery . This data does not have to be researched , it merely has to be retrieved ."	0
"It is not a question of “ finding ” that answer , it is a question of remembering ."	0
"It is not for you to judge the journey of another's soul . It is for you to decide who YOU are , not who another has been or has failed to be ."	0
It is not necessary to move mountains to move mountains . It is necessary only to move pebbles .	0
"It is okay for you to include yourself in the list of people around the world for whom you wish to call forth peace , prosperity & love ."	0
"It is okay to ask what you can give to yourself . In fact , it's very okay ."	0
It is only through the exercise of the greatest freedom that the greatest growth is achieved - or even possible .	0
"It is our "" job "" to continue imagining higher states of being - higher thoughts , word and deeds , so we continue creating ourselves anew ."	0
It is the basic nature of human beings to be loving .	0
"It is the feeling of Divinity , not just the knowing of it , that the whole of Life is designed to bring us ."	1
"It is time for the world to stop kidding itself , to wake up , to realize that the only problem of humanity is lack of love ."	0
"It is time for us to place before humanity a New Cultural Story ; a manifesto created by all of us , working as co-authors ."	0
It is time to share with the world a glorious vision . It is the vision of all souls that have ever truly felt the Oneness of Life .	0
"It is what's in humanity's soul , not what's in humanity's wallet , that will purchase our freedom from humanity's suffering ."	0
It is within that your bliss will be found . Nothing outside can compare with what is within you .	0
"It is you who are choosing , in any moment , to be happy . Or choosing to be sad , or angry , or forgiving , or whatever . You are choosing . YOU ."	0
"It would benefit you to remove from your cultural myth the idea that , by some magic ingredient , you have been made better than others ."	0
"It's conversations , little conversations , that start big revolutions ."	1
It's good to be aware that a certain amount of fear is going to accompany every change in your life - change for worse or better .	1
"It's time to embrace a new , and to some a startling concept . There is enough ."	1
It's time to make friends with your mind again . Be a nourisher of it - it's been so starved .	1
"It’s not what your mind is aware of , because now you are in the beingness of holiness . You pay attention to what holiness is aware of ."	0
Just be with yourself and be curious about yourself and ask yourself questions about yourself .	0
"Just close your eyes and breathe deeply . Then just relax and continue being with yourself , quietly , for a while ."	0
"Just know this : You are a being of Divine Proportion , knowing no limitation ."	0
"Just love everything that Life has to offer today . And of course , love every person . Then watch the whole experience change ."	0
"Just stop everything for one moment , and smile . At nothing . Just because it feels good ."	0
"Just stop . Stop all of our doingness , all of your thinking . Just "" be "" for a while . Even for only a moment . It can change everything ."	1
Know and understand that there will be challenges and difficult times . Don't try to avoid them . Welcome them . Gratefully .	1
Know that you are your own highest authority . Go within to see if the truth you've found is in harmony with the truth you find in your heart .	0
"Know the truth & the truth shall set you free . Yet once you come to know your truth , don't keep changing your mind about it ."	0
"Knowing that all outcomes are perfect for your evolution , that everything works , gives you extraordinary confidence in tomorrow ."	0
Knowing that you can bring about a higher choice is what positive thinking is all about . You are the creator of your own reality .	1
Lack of contradictions is not a necessary ingredient in truth . Sometimes greater truth lies within the contradiction .	0
"Let go of expectation , of requirements , rules & regulations that you would impose on your loved ones . For they are not loved if restricted ."	1
"Let go once in a while . Sing your song out loud , so that everyone can hear . If you don't do it now , when will you ?"	0
Let gratitude replace judgment and your whole experience of life will take a turn for the better in five minutes .	0
Let gratitude replace judgment and your whole experience of life will take a turn for the better in five seconds . In five seconds .	1
Let your light shine upon the world that the world will know Who You Really Are .	0
"Let your task , your greatest joy be to give people back to themselves . Even in their darkest hour . Especially in that hour ."	0
Let's be clear : all of life is deciding . You are deciding . Every act is an act of self-definition .	0
Life affects life through the process of life itself . The Essential Essence is an energy that has an impact upon Itself .	0
"Life beings at the end of your Comfort Zone . So if you’re feeling uncomfortable right now , know that the change taking place in your life is a beginning , not an ending ."	0
"Life by its nature cannot have guarantees , or its whole purpose is thwarted ."	0
Life in the physical realm is glorious & its purpose is to bring you happiness through the awareness of Who You Really Are .	0
"Life is a choice , a playground in which we can be and experience whatever we want without expectation , without fear , and with a knowing that we are always enough !"	0
"Life is a creation , not a discovery . Celebrate and enjoy all that you create ."	1
Life is a decision conveyor . It conveys to the world the decisions that you’ve made about yourself .	1
Life is a process . It is a process with purpose and meaning . It is the Present Action of an Eternal Activity .	0
"Life is a process . It is not something that is "" just happening , "" it is something that is happening on purpose ."	1
"Life is always changing in order to always be creating and recreating Itself anew , in a way that expands Itself ."	1
"Life is an experience with a purpose greater than mere survival . Everything that is occurring , both in our individual lives and in our collective experience , is serving that larger purpose perfectly"	0
"Life is an ongoing , never-ending process of re-creation . This is the purpose of all life ."	0
Life is beautiful . It’s just a matter of seeing it that way .	0
"Life is eternal , and there is only One of Us . These two truths are all you will ever need to know ."	0
"Life is eternally functional , adaptable , and sustainable . Change is an announcement of Life's intention to go on ."	0
"Life is meant to happy . I know this is sometimes hard to believe , and I know that on many days it simply is not your experience , but it is true ."	0
"Life is not a process of discovery , but a process of creation . You are not discovering yourself , but creating yourself anew ."	0
"Life is not a process of discovery , it is a process of creation ."	0
Life is nothing but energy ; pure energy that circles back into itself .	1
"Life is the expression of Divinity in , through , and as Us , and the experience of heaven on earth ."	0
"Life moves only in one direction : forward and upward , to ever increasing levels of efficiency and magnificence ."	0
"Life presents itself perfectly in every moment , and every person believe his or her point of view to be valid and 'right . '"	0
"Life proceeds out of your intention . Your true intention is revealed by your actions , and your actions are determined by your true intention ."	0
"Life proceeds out of your intentions for it . When you are aware of this , you can live your life deliberately ."	1
"Life sends you good things whether you are grateful or not . But with gratitude , life sends them to you faster . That is because gratitude is a state of being ."	0
"Life tells people what you’ve decided about who you are , who they are , & why you are here , & why you think they are here , & what life itself is about ."	0
"Life was meant to be happy . If you don't believe that , then life will have no choice but to play itself out according to your non-belief ."	0
Life was meant to be happy . The Good News is that you do not have to go through hell to get to heaven .	0
"Life will only make sense ; and can only produce long-term , happiness , peace , and joy when embraced from the perspective of the soul ."	1
Life's wonder is that it is a process in which you have the opportunity to recreate yourself as you wish to be .	0
Like attracts like . This is a fundamental law of the Universe .	1
Listen to your heart . Cultivate the ability to do this . Practice it . Perfect it . It is not that difficult . Just be quiet with yourself .	1
Listen to your heart . It is not that difficult . Just be quiet with yourself .	0
Listen to your soul . Hear your Self . The guidance you are getting is to follow your heart .	1
Living your life from the place of soul can tell you many things that living your life from the place of mind and body cannot alone .	0
Look at what you do with your money . This is who you are .	0
"Look deeply into each moment . Savor each nanosecond . Don't miss this ; don't miss this , DON'T MISS THIS ."	0
Look to see what you are doing today . Is this how you choose to define yourself ?	1
Look to see what you are thinking today . Is this what you wish to create ?	1
"Look to see what you most desire in your life , then ride that feeling all the way to creation . This is called the Law of Attraction ."	0
"Look to see whether the values you serve , with your thoughts , words , and actions , bring the highest idea you ever had about you ."	1
Love has no requirements . That's what makes it love .	0
"Love invites you , always , to live your truth ."	0
"Love is experienced in that heart-lift you feel when you see a family member , hope , wishing the highest goal for another ."	0
"Love is that which is unlimited . There is no beginning and no end to it . Love always was , always is , and always will be ."	1
"Love is the energy which expands , opens up , sends out , reveals , shares , and heals ."	0
"Make a commitment to your soul , to be with your soul , to meet your soul , to hear and listen to your soul ."	0
Make it your life's mission today to bring to the attention of another just how extraordinary they are . Say it . SAY it .	1
Make someone else loved and you become twice as loved . It doesn't get any better than this . And it's all so…simple .	0
Meditation is a way to raise the energy of Life that is always present in your body .	0
"Moments of great sadness , of great happiness , of great joy , of great victory , of defeat—All of us have had those kinds of shared experiences . And recalling those moments is another tool that I use when I want recall the experience of my Oneness with others ."	1
"Moments that will soon turn into Memories are going on right now , and through all of them there is only one thing that matters ."	0
"Most of us spend our time with our Body and our Mind , and very little time with our Soul ."	0
"Most people don’t think they create their emotions . They think they just have them . In fact , emotions are chosen . Emotions are an Act of Will ."	0
"Most people make decisions based on past feelings , experiences , & desires . This has nothing to do with what is going on right now ."	1
"Most people make decisions based upon past feelings or experiences . None of this has anything with what is going on right here , right now ."	1
"Move forward with no second-guessing , no guilt trips , no hesitation . Your purpose is to recreate yourself anew in each moment ."	1
"Movement is known to produce significant benefit . Not only physical toning and shaping , but metaphysical sharpening and opening as well ."	1
"My assignment in this lifetime , it has become clear , is plain and simple : to give people back to themselves ."	0
My reality has nothing to do with producing the exterior elements of my life and everything to do with how I respond to the elements that have been produced .	1
"My wonderful friends , I urge you to consider the possibility that life was meant to be happy ."	1
"Need does not exist . It is a fiction . In reality , you need nothing to be happy . Happiness is a state of mind ."	1
"Never be afraid to "" try your hand "" because you don't want to might make a mistake or not do something "" right . """	0
"Never have a state of "" beingness "" which you do not choose to have . Never "" should "" on yourself ."	0
Never look over your shoulder to know Who You Are right now . You are NOT who you WERE . You are who you are RIGHT NOW .	0
"Never resist anything . If you think that by your resistance you will eliminate it , think again . You only plant it more firmly in place ."	0
Never underestimate the power of your word and the power of your will . Willing something to happen is what turns yearning into action .	0
"No effort is ever wasted , although some pay dividends later than you think ."	0
No feeling you get from any exterior stimulation or source is anything like the total bliss of communion within .	0
No life is pointless and I tell you that no life is hopeless . Fear and guilt are the only enemies of man .	1
"No one else in the universe can encounter , understand , or experience anything at all in precisely the way you do . Not so long as you stay in your mind . It is impossible to have a "" meeting of minds . "" You can , however , have a blending of the souls ."	0
"No single Moment has a prescribed length . It could last one second , one minute , or one hour . Or much longer than that ."	0
"Not needing is a great freedom . It frees you from the fear that without a certain thing , you won't be happy ."	0
Nothing can occur in your life which is not a perfect opportunity to experience something you wish in order to be Who You Really Are .	1
